,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,lp001002,male,no,0,graduate,no,5849.0,0.0,128.0,360.0,1.0,urban,y
1,lp001003,male,yes,1,graduate,no,4583.0,1508.0,128.0,360.0,1.0,rural,n
2,lp001005,male,yes,0,graduate,yes,3000.0,0.0,66.0,360.0,1.0,urban,y
3,lp001006,male,yes,0,not graduate,no,2583.0,2358.0,120.0,360.0,1.0,urban,y
4,lp001008,male,no,0,graduate,no,6000.0,0.0,141.0,360.0,1.0,urban,y
5,lp001011,male,yes,2,graduate,yes,5417.0,4196.0,267.0,360.0,1.0,urban,y
6,lp001013,male,yes,0,not graduate,no,2333.0,1516.0,95.0,360.0,1.0,urban,y
7,lp001014,male,yes,3+,graduate,no,3036.0,2504.0,158.0,360.0,0.0,semiurban,n
8,lp001018,male,yes,2,graduate,no,4006.0,1526.0,168.0,360.0,1.0,urban,y
9,lp001020,male,yes,1,graduate,no,12841.0,8895.890000000003,349.0,360.0,1.0,semiurban,n
10,lp001024,male,yes,2,graduate,no,3200.0,700.0,70.0,360.0,1.0,urban,y
11,lp001027,male,yes,2,graduate,no,2500.0,1840.0,109.0,360.0,1.0,urban,y
12,lp001028,male,yes,2,graduate,no,3073.0,8106.0,200.0,360.0,1.0,urban,y
13,lp001029,male,no,0,graduate,no,1853.0,2840.0,114.0,360.0,1.0,rural,n
14,lp001030,male,yes,2,graduate,no,1299.0,1086.0,17.0,120.0,1.0,urban,y
15,lp001032,male,no,0,graduate,no,4950.0,0.0,125.0,360.0,1.0,urban,y
16,lp001034,male,no,1,not graduate,no,3596.0,0.0,100.0,240.0,1.0,urban,y
17,lp001036,female,no,0,graduate,no,3510.0,0.0,76.0,360.0,0.0,urban,n
18,lp001038,male,yes,0,not graduate,no,4887.0,0.0,133.0,360.0,1.0,rural,n
19,lp001041,male,yes,0,graduate,no,2600.0,3500.0,115.0,360.0,1.0,urban,y
20,lp001043,male,yes,0,not graduate,no,7660.0,0.0,104.0,360.0,0.0,urban,n
21,lp001046,male,yes,1,graduate,no,5955.0,5625.0,315.0,360.0,1.0,urban,y
22,lp001047,male,yes,0,not graduate,no,2600.0,1911.0,116.0,360.0,0.0,semiurban,n
23,lp001050,male,yes,2,not graduate,no,3365.0,1917.0,112.0,360.0,0.0,rural,n
24,lp001052,male,yes,1,graduate,no,3717.0,2925.0,151.0,360.0,1.0,semiurban,n
25,lp001066,male,yes,0,graduate,yes,9560.0,0.0,191.0,360.0,1.0,semiurban,y
26,lp001068,male,yes,0,graduate,no,2799.0,2253.0,122.0,360.0,1.0,semiurban,y
27,lp001073,male,yes,2,not graduate,no,4226.0,1040.0,110.0,360.0,1.0,urban,y
28,lp001086,male,no,0,not graduate,no,1442.0,0.0,35.0,360.0,1.0,urban,n
29,lp001087,female,no,2,graduate,no,3750.0,2083.0,120.0,360.0,1.0,semiurban,y
